team1,team2,winner,margin,matchDate,match_id,Year
Super Kings,KKR,Super Kings,27 runs,15-10-21,T203817,2021
Capitals,KKR,KKR,3 wickets,13-10-21,T206442,2021
RCB,KKR,KKR,4 wickets,11-10-21,T208597,2021
Capitals,Super Kings,Super Kings,4 wickets,10-10-21,T201819,2021
Capitals,RCB,RCB,7 wickets,08-10-21,T205942,2021
Mumbai,Sunrisers,Mumbai,42 runs,08-10-21,T201979,2021
KKR,Royals,KKR,86 runs,07-10-21,T204179,2021
Super Kings,Punjab Kings,Punjab Kings,6 wickets,07-10-21,T201866,2021
Sunrisers,RCB,Sunrisers,4 runs,06-10-21,T209992,2021
Royals,Mumbai,Mumbai,8 wickets,05-10-21,T205599,2021
Super Kings,Capitals,Capitals,3 wickets,04-10-21,T207682,2021
Sunrisers,KKR,KKR,6 wickets,03-10-21,T207430,2021
RCB,Punjab Kings,RCB,6 runs,03-10-21,T207754,2021
Super Kings,Royals,Royals,7 wickets,02-10-21,T205672,2021
Mumbai,Capitals,Capitals,4 wickets,02-10-21,T209349,2021
KKR,Punjab Kings,Punjab Kings,5 wickets,01-10-21,T201051,2021
Sunrisers,Super Kings,Super Kings,6 wickets,30-09-21,T203061,2021
Royals,RCB,RCB,7 wickets,29-09-21,T204742,2021
Punjab Kings,Mumbai,Mumbai,6 wickets,28-09-21,T208262,2021
Capitals,KKR,KKR,3 wickets,28-09-21,T206700,2021
Royals,Sunrisers,Sunrisers,7 wickets,27-09-21,T206862,2021
RCB,Mumbai,RCB,54 runs,26-09-21,T203043,2021
KKR,Super Kings,Super Kings,2 wickets,26-09-21,T202406,2021
Punjab Kings,Sunrisers,Punjab Kings,5 runs,25-09-21,T203188,2021
Capitals,Royals,Capitals,33 runs,25-09-21,T202046,2021
RCB,Super Kings,Super Kings,6 wickets,24-09-21,T207776,2021
Mumbai,KKR,KKR,7 wickets,23-09-21,T202680,2021
Sunrisers,Capitals,Capitals,8 wickets,22-09-21,T204364,2021
Royals,Punjab Kings,Royals,2 runs,21-09-21,T207857,2021
RCB,KKR,KKR,9 wickets,20-09-21,T204307,2021
Super Kings,Mumbai,Super Kings,20 runs,19-09-21,T201256,2021
Punjab Kings,Capitals,Capitals,7 wickets,02-05-21,T208407,2021
Royals,Sunrisers,Royals,55 runs,02-05-21,T209103,2021
Super Kings,Mumbai,Mumbai,4 wickets,01-05-21,T203694,2021
Punjab Kings,RCB,Punjab Kings,34 runs,30-04-21,T208245,2021
KKR,Capitals,Capitals,7 wickets,29-04-21,T201595,2021
Royals,Mumbai,Mumbai,7 wickets,29-04-21,T209461,2021
Sunrisers,Super Kings,Super Kings,7 wickets,28-04-21,T205094,2021
RCB,Capitals,RCB,1 run,27-04-21,T208915,2021
Punjab Kings,KKR,KKR,5 wickets,26-04-21,T209997,2021
Super Kings,RCB,Super Kings,69 runs,25-04-21,T202915,2021
KKR,Royals,Royals,6 wickets,24-04-21,T205585,2021
Mumbai,Punjab Kings,Punjab Kings,9 wickets,23-04-21,T204808,2021
Royals,RCB,RCB,10 wickets,22-04-21,T201545,2021
Super Kings,KKR,Super Kings,18 runs,21-04-21,T202233,2021
Punjab Kings,Sunrisers,Sunrisers,9 wickets,21-04-21,T204912,2021
Mumbai,Capitals,Capitals,6 wickets,20-04-21,T207273,2021
Super Kings,Royals,Super Kings,45 runs,19-04-21,T209089,2021
Punjab Kings,Capitals,Capitals,6 wickets,18-04-21,T209593,2021
RCB,KKR,RCB,38 runs,18-04-21,T202791,2021
Mumbai,Sunrisers,Mumbai,13 runs,17-04-21,T201372,2021
Punjab Kings,Super Kings,Super Kings,6 wickets,16-04-21,T205292,2021
Capitals,Royals,Royals,3 wickets,15-04-21,T203570,2021
RCB,Sunrisers,RCB,6 runs,14-04-21,T202204,2021
Mumbai,KKR,Mumbai,10 runs,13-04-21,T209194,2021
Punjab Kings,Royals,Punjab Kings,4 runs,12-04-21,T207896,2021
KKR,Sunrisers,KKR,10 runs,11-04-21,T209178,2021
Super Kings,Capitals,Capitals,7 wickets,10-04-21,T206363,2021
Mumbai,RCB,RCB,2 wickets,09-04-21,T203784,2021
Royals,Titans,Titans,7 wickets,29-05-22,T202715,2022
RCB,Royals,Royals,7 wickets,27-05-22,T201109,2022
RCB,Super Giants,RCB,14 runs,25-05-22,T207136,2022
Royals,Titans,Titans,7 wickets,24-05-22,T203302,2022
Sunrisers,Punjab Kings,Punjab Kings,5 wickets,22-05-22,T204029,2022
Capitals,Mumbai,Mumbai,5 wickets,21-05-22,T205729,2022
Super Kings,Royals,Royals,5 wickets,20-05-22,T203588,2022
Titans,RCB,RCB,8 wickets,19-05-22,T201867,2022
Super Giants,KKR,Super Giants,2 runs,18-05-22,T202863,2022
Sunrisers,Mumbai,Sunrisers,3 runs,17-05-22,T206060,2022
Capitals,Punjab Kings,Capitals,17 runs,16-05-22,T209295,2022
Royals,Super Giants,Royals,24 runs,15-05-22,T204939,2022
Super Kings,Titans,Titans,7 wickets,15-05-22,T204140,2022
KKR,Sunrisers,KKR,54 runs,14-05-22,T209676,2022
Punjab Kings,RCB,Punjab Kings,54 runs,13-05-22,T203332,2022
Super Kings,Mumbai,Mumbai,5 wickets,12-05-22,T203878,2022
Royals,Capitals,Capitals,8 wickets,11-05-22,T201826,2022
Titans,Super Giants,Titans,62 runs,10-05-22,T207400,2022
KKR,Mumbai,KKR,52 runs,09-05-22,T203087,2022
Super Kings,Capitals,Super Kings,91 runs,08-05-22,T205352,2022
RCB,Sunrisers,RCB,67 runs,08-05-22,T207464,2022
Super Giants,KKR,Super Giants,75 runs,07-05-22,T204710,2022
Punjab Kings,Royals,Royals,6 wickets,07-05-22,T201231,2022
Mumbai,Titans,Mumbai,5 runs,06-05-22,T201720,2022
Capitals,Sunrisers,Capitals,21 runs,05-05-22,T201248,2022
RCB,Super Kings,RCB,13 runs,04-05-22,T207511,2022
Titans,Punjab Kings,Punjab Kings,8 wickets,03-05-22,T209502,2022
Royals,KKR,KKR,7 wickets,02-05-22,T201137,2022
Super Kings,Sunrisers,Super Kings,13 runs,01-05-22,T206274,2022
Super Giants,Capitals,Super Giants,6 runs,01-05-22,T208561,2022
Royals,Mumbai,Mumbai,5 wickets,30-04-22,T204259,2022
RCB,Titans,Titans,6 wickets,30-04-22,T208841,2022
Super Giants,Punjab Kings,Super Giants,20 runs,29-04-22,T207116,2022
KKR,Capitals,Capitals,4 wickets,28-04-22,T209582,2022
Sunrisers,Titans,Titans,5 wickets,27-04-22,T209115,2022
Royals,RCB,Royals,29 runs,26-04-22,T205212,2022
Punjab Kings,Super Kings,Punjab Kings,11 runs,25-04-22,T207611,2022
Super Giants,Mumbai,Super Giants,36 runs,24-04-22,T208801,2022
RCB,Sunrisers,Sunrisers,9 wickets,23-04-22,T208774,2022
Titans,KKR,Titans,8 runs,23-04-22,T208514,2022
Royals,Capitals,Royals,15 runs,22-04-22,T206421,2022
Mumbai,Super Kings,Super Kings,3 wickets,21-04-22,T202326,2022
Punjab Kings,Capitals,Capitals,9 wickets,20-04-22,T203741,2022
RCB,Super Giants,RCB,18 runs,19-04-22,T204535,2022
Royals,KKR,Royals,7 runs,18-04-22,T206892,2022
Super Kings,Titans,Titans,3 wickets,17-04-22,T206030,2022
Punjab Kings,Sunrisers,Sunrisers,7 wickets,17-04-22,T208958,2022
RCB,Capitals,RCB,16 runs,16-04-22,T205793,2022
Super Giants,Mumbai,Super Giants,18 runs,16-04-22,T204555,2022
KKR,Sunrisers,Sunrisers,7 wickets,15-04-22,T208105,2022
Titans,Royals,Titans,37 runs,14-04-22,T207043,2022
Punjab Kings,Mumbai,Punjab Kings,12 runs,13-04-22,T208002,2022
Super Kings,RCB,Super Kings,23 runs,12-04-22,T203601,2022
Titans,Sunrisers,Sunrisers,8 wickets,11-04-22,T208211,2022
Royals,Super Giants,Royals,3 runs,10-04-22,T207999,2022
Capitals,KKR,Capitals,44 runs,10-04-22,T208705,2022
Mumbai,RCB,RCB,7 wickets,09-04-22,T204746,2022
Super Kings,Sunrisers,Sunrisers,8 wickets,09-04-22,T209199,2022
Punjab Kings,Titans,Titans,6 wickets,08-04-22,T202634,2022
Capitals,Super Giants,Super Giants,6 wickets,07-04-22,T204296,2022
Mumbai,KKR,KKR,5 wickets,06-04-22,T207856,2022
Royals,RCB,RCB,4 wickets,05-04-22,T203456,2022
Super Giants,Sunrisers,Super Giants,12 runs,04-04-22,T204825,2022
Punjab Kings,Super Kings,Punjab Kings,54 runs,03-04-22,T206118,2022
Titans,Capitals,Titans,14 runs,02-04-22,T205181,2022
Royals,Mumbai,Royals,23 runs,02-04-22,T209847,2022
Punjab Kings,KKR,KKR,6 wickets,01-04-22,T203227,2022
Super Kings,Super Giants,Super Giants,6 wickets,31-03-22,T207058,2022
KKR,RCB,RCB,3 wickets,30-03-22,T203578,2022
Royals,Sunrisers,Royals,61 runs,29-03-22,T205314,2022
Super Giants,Titans,Titans,5 wickets,28-03-22,T202349,2022
RCB,Punjab Kings,Punjab Kings,5 wickets,27-03-22,T208141,2022
Mumbai,Capitals,Capitals,4 wickets,27-03-22,T205838,2022
Super Kings,KKR,KKR,6 wickets,26-03-22,T201512,2022
Titans,Super Kings,Super Kings,5 wickets,28-05-23,T208201,2023
Titans,Mumbai,Titans,62 runs,26-05-23,T203496,2023
Mumbai,Super Giants,Mumbai,81 runs,24-05-23,T203571,2023
Super Kings,Titans,Super Kings,15 runs,23-05-23,T206084,2023
RCB,Titans,Titans,6 wickets,21-05-23,T201605,2023
Sunrisers,Mumbai,Mumbai,8 wickets,21-05-23,T206817,2023
Super Giants,KKR,Super Giants,1 run,20-05-23,T203370,2023
Super Kings,Capitals,Super Kings,77 runs,20-05-23,T206925,2023
Punjab Kings,Royals,Royals,4 wickets,19-05-23,T205037,2023
Sunrisers,RCB,RCB,8 wickets,18-05-23,T202467,2023
Capitals,Punjab Kings,Capitals,15 runs,17-05-23,T201082,2023
Super Giants,Mumbai,Super Giants,5 runs,16-05-23,T208249,2023
Titans,Sunrisers,Titans,34 runs,15-05-23,T208692,2023
Super Kings,KKR,KKR,6 wickets,14-05-23,T206211,2023
RCB,Royals,RCB,112 runs,14-05-23,T204453,2023
Punjab Kings,Capitals,Punjab Kings,31 runs,13-05-23,T208032,2023
Sunrisers,Super Giants,Super Giants,7 wickets,13-05-23,T204737,2023
Mumbai,Titans,Mumbai,27 runs,12-05-23,T203656,2023
KKR,Royals,Royals,9 wickets,11-05-23,T205338,2023
Super Kings,Capitals,Super Kings,27 runs,10-05-23,T209224,2023
RCB,Mumbai,Mumbai,6 wickets,09-05-23,T205430,2023
Punjab Kings,KKR,KKR,5 wickets,08-05-23,T201181,2023
Royals,Sunrisers,Sunrisers,4 wickets,07-05-23,T201576,2023
Titans,Super Giants,Titans,56 runs,07-05-23,T201503,2023
RCB,Capitals,Capitals,7 wickets,06-05-23,T208517,2023
Mumbai,Super Kings,Super Kings,6 wickets,06-05-23,T204004,2023
Royals,Titans,Titans,9 wickets,05-05-23,T206195,2023
KKR,Sunrisers,KKR,5 runs,04-05-23,T208611,2023
Punjab Kings,Mumbai,Mumbai,6 wickets,03-05-23,T205138,2023
Capitals,Titans,Capitals,5 runs,02-05-23,T203464,2023
RCB,Super Giants,RCB,18 runs,01-05-23,T203494,2023
Royals,Mumbai,Mumbai,6 wickets,30-04-23,T204100,2023
Super Kings,Punjab Kings,Punjab Kings,4 wickets,30-04-23,T204443,2023
Sunrisers,Capitals,Sunrisers,9 runs,29-04-23,T207344,2023
KKR,Titans,Titans,7 wickets,29-04-23,T201505,2023
Super Giants,Punjab Kings,Super Giants,56 runs,28-04-23,T204958,2023
Royals,Super Kings,Royals,32 runs,27-04-23,T204283,2023
KKR,RCB,KKR,21 runs,26-04-23,T202291,2023
Titans,Mumbai,Titans,55 runs,25-04-23,T208781,2023
Capitals,Sunrisers,Capitals,7 runs,24-04-23,T206316,2023
Super Kings,KKR,Super Kings,49 runs,23-04-23,T207135,2023
RCB,Royals,RCB,7 runs,23-04-23,T205220,2023
Punjab Kings,Mumbai,Punjab Kings,13 runs,22-04-23,T204462,2023
Titans,Super Giants,Titans,7 runs,22-04-23,T208595,2023
Sunrisers,Super Kings,Super Kings,7 wickets,21-04-23,T208568,2023
KKR,Capitals,Capitals,4 wickets,20-04-23,T206506,2023
RCB,Punjab Kings,RCB,24 runs,20-04-23,T209410,2023
Super Giants,Royals,Super Giants,10 runs,19-04-23,T205539,2023
Mumbai,Sunrisers,Mumbai,14 runs,18-04-23,T203831,2023
Super Kings,RCB,Super Kings,8 runs,17-04-23,T206232,2023
Titans,Royals,Royals,3 wickets,16-04-23,T204210,2023
KKR,Mumbai,Mumbai,5 wickets,16-04-23,T202897,2023
Super Giants,Punjab Kings,Punjab Kings,2 wickets,15-04-23,T203424,2023
RCB,Capitals,RCB,23 runs,15-04-23,T208157,2023
Sunrisers,KKR,Sunrisers,23 runs,14-04-23,T209839,2023
Punjab Kings,Titans,Titans,6 wickets,13-04-23,T206541,2023
Royals,Super Kings,Royals,3 runs,12-04-23,T201215,2023
Capitals,Mumbai,Mumbai,6 wickets,11-04-23,T207664,2023
RCB,Super Giants,Super Giants,1 wicket,10-04-23,T202162,2023
Punjab Kings,Sunrisers,Sunrisers,8 wickets,09-04-23,T206444,2023
Titans,KKR,KKR,3 wickets,09-04-23,T208626,2023
Mumbai,Super Kings,Super Kings,7 wickets,08-04-23,T206408,2023
Royals,Capitals,Royals,57 runs,08-04-23,T207547,2023
Sunrisers,Super Giants,Super Giants,5 wickets,07-04-23,T209590,2023
KKR,RCB,KKR,81 runs,06-04-23,T207668,2023
Punjab Kings,Royals,Punjab Kings,5 runs,05-04-23,T201031,2023
Capitals,Titans,Titans,6 wickets,04-04-23,T205026,2023
Super Kings,Super Giants,Super Kings,12 runs,03-04-23,T202790,2023
Mumbai,RCB,RCB,8 wickets,02-04-23,T202485,2023
Royals,Sunrisers,Royals,72 runs,02-04-23,T209117,2023
Super Giants,Capitals,Super Giants,50 runs,01-04-23,T208512,2023
Punjab Kings,KKR,Punjab Kings,7 runs,01-04-23,T202853,2023
Super Kings,Titans,Titans,5 wickets,31-03-23,T201566,2023
